1,036_03.jpg,neutral
2,119153_jeroen-kijk-in-de-vegte.jpg,happy
3,12.jpg,neutral
4,120118CLmatcuoi3.jpg,happy
5,136802519.jpg,fear
6,1373732.jpg,happy
7,1470332535285.jpg,happy
8,1527687313481_003_Frica.jpg,fear
9,155358604.jpg,happy
10,15f179280d5c3efe9d88fde0cb1c5d7d.jpg,neutral
11,160427093056-conan-ellie-kemper-resting-bitch-face-clip-00005022-exlarge-169.jpg,neutral
12,171269404.jpg,fear
13,176812027.jpg,happy
14,182778290.jpg,fear
15,20180530_155533.jpeg,anger
16,202834-woman-human-being-youth-young-adults-beautiful-face-eyes-photocase-stock-photo-large.jpeg,happy
17,28F1429A00000578-3091126-Alicia_s_neutral_face_was_guessed_at_41_years_old_which_is_her_a-a-5_1432229758662.jpg,neutral
18,3c-Brief-AgeEmotion-Fear (1).jpg,fear
19,444c2b1160898a5ecaa3b925cbb4d3df.jpg,sad
20,4a10ccc260871cf7e2736039e8e0f284--you-are-beautiful-beautiful-black-women.jpg,neutral
21,549b4f51af58a_-_elle-00-cold-front-v-elv.jpg,neutral
22,6100-05827298en_Masterfile.jpg,happy
23,72459487.jpg,fear
24,7c48b7eb-6133-4588-81c0-fd4cbf6baeb1979217cc8d777a12a6b9796befa8c628.jpg,neutral
25,8.Trendy-Hairstyle-for-Men.jpg,neutral
26,825390452.jpg,neutral
27,839be2c93941af72ba08a7c840bcf6d1.jpg,neutral
28,8573018e531c04822276b569e68fd35d.jpg,neutral
29,8a807b4d6b7e1adcaf3a9c630d7e7579.jpg,sad
30,98066342.jpg,happy
31,9c7c126d538b7590f1058e677b381c4d.jpg,neutral
32,9f9667c690b1adeb907c5aa357db9cd1.jpg,happy
33,a_4x-vertical.jpg,neutral
34,ac48814aa16a256fa5e3987808a64efb.jpg,happy
35,adc.jpeg,anger
36,adolescents.jpg,happy
37,AK.jpg,sad
38,an-014.jpg,fear
39,Androgyne.jpg,neutral
40,apil-1.jpg,fear
41,asdn.jpg,happy
42,asj.jpeg,anger
43,average_face_of_10_women_by_lessthan5percent-d5mshht.png,neutral
44,average_latvian_women.jpg,neutral
45,bdf5b6955551c4b9a88ac49de111d034.jpg,neutral
46,beautiful-brunette-young-woman-sad-face-47602781.jpg,sad
47,boy-13456444.jpg,fear
48,boy-scared-2231982.jpg,fear
49,browse-1.jpg,neutral
50,acn.jpeg,anger
51,Cannes_084_(28110747125)_(cropped).jpg,neutral
52,Casual-Men-Hair-Cuts.jpg,neutral
53,cb56db34c658d743cf4ff02c677431be.jpg,neutral
54,cdek.jpeg,anger
55,chris-brown-sad-face1.jpg,sad
56,citefun-fear-face-14.jpg,fear
57,clear-aligners-1.jpg,happy
58,closeup-portrait-successful-happy-boy-isolated-grey-background-positive-human-emotion-face-expression-life-perception-achievement-71590319.jpg,happy
59,close-up-scared-woman-5661916.jpg,fear
60,Cole_Calistra.jpg,happy
61,csm_Schmid-Rebatz_Gertraud_79592f2634.jpg,happy
62,"d,cmd.jpeg",anger
63,d16b77a69514dc54e8398086db4f0c4a.jpg,sad
64,d64f7d04c670bf48a89dd264e756c35b--black-and-white-naturally-beautiful.jpg,happy
65,dakota_johnson_unisex_name_d_getty.jpeg,neutral
66,darna.jpg,fear
67,depositphotos_50321505-stock-photo-headshot-of-a-happy-student.jpg,happy
68,dfjwskdk.jpg,sad
69,dhd.jpeg,anger
70,djcnwd.jpg,happy
71,dkfjori.jpg,happy
72,dlm.jpg,happy
73,dnf.jpeg,anger
74,dnid.jpeg,anger
75,download (1).jpg,fear
76,download (1)a.jpg,neutral
77,download (2).jpg,happy
78,download (3).jpg,fear
79,download (5)d.jpg,neutral
80,download.jpg,fear
81,downloadq.jpg,neutral
82,dsj.jpg,neutral
83,dskj.jpeg,anger
84,dskjf.jpeg,anger
85,dwiu.jpeg,anger
86,dwsjjcdn.jpg,sad
87,e02d2214a2499d.jpg,fear
88,ee13d5db7d14ab0bb9dbcf45bd64064f.jpg,neutral
89,efgeo.jpg,happy
90,efjerkmskas.jpg,sad
91,endwd.jpeg,anger
92,Example-Photo-.jpg,happy
93,fear.png,fear
94,fear-face.jpg,fear
95,fear-face-old-scared-man-concept-elemental-fear-strong-exaggerated-fear-expression-old-man-102873169.jpg,fear
96,Fearful-Image.jpg,fear
97,FEAT.jpg,fear
98,fg.jpeg,anger
99,fgkapeorksed.jpg,sad
100,fkgjer.jpeg,anger
101,fkj.jpg,happy
102,fkjgr.jpeg,anger
103,fkoiSJi.jpg,sad
104,flkgr.jpeg,anger
105,fmir.jpeg,anger
106,full-smile2.jpg,happy
107,fwkeo.jpg,happy
108,gkhoy.jpeg,anger
109,gkt.jpeg,anger
110,happy-positive-smiling-blonde-woman-happiness-human-face-expressions-concept-happy-positive-cheerful-smiling-woman-having-braces-108845975.jpg,happy
111,happy-surprised-man-closeup-portrait-wild-goofy-crazy-funny-shocked-stunned-young-face-hands-air-wide-open-mouth-37409006.jpg,happy
112,heres-why-people-enjoy-being-scared.jpg,fear
113,hkt.jpeg,anger
114,house-of-horrors-funny3.jpg,fear
115,human-face-expressions-emotions-portrait-young-smiling-adorable-redhead-woman-cozy-shirt-looking-happy-cute-lady-81202273.jpg,happy
